product,revenue,cumulative_pct,abc_category
Khukuri FT,7146783.24,3.2751,A
Sugar,6410811.54,6.213,A
KUNDAN SUNFLOWER 1LTR,3944878.65,8.0208,A
FAMILY SUNFLOWER 1LTR,3708456.36,9.7202,A
Newari Longgrain 20kg,3498057.03,11.3233,A
gyan solti 25kg,2847103.74,12.628,A
Shikhar Ice,2498047.56,13.7728,A
COKE FANTA SPRITE 1.5L,2356686.49,14.8527,A
Cello Oil 1l,2324655.24,15.918,A
SHAKTI SOYABEAN OIL 1LTR,2261856.56,16.9546,A
Tuborg Can 500ml,2259241.77,17.9899,A
urja jira 25kg,2152054.46,18.9761,A
Rato Dal,2139276.7,19.9565,A
Manang Sahi Pulalu 20kg,2090083.73,20.9143,A
Hulas Steam Jeera 25kg,2071228.34,21.8635,A
Dhara Health 1l,2054085.51,22.8048,A
Surya,1922162.94,23.6856,A
Dhara Mustard Oil 1l,1850829.35,24.5338,A
Manang Jeera Chamal 25kg,1684206.23,25.3056,A
Khukuri Rum 180ml,1461794.83,25.9755,A
777 jira chamal 25kg,1383163.16,26.6094,A
Tuborg 650ml,1315181.73,27.2121,A
SunFlow Sunflower 1l,1289391.81,27.8029,A
Koseli Mustard oil 1l,1287533.12,28.393,A
Gorkha Strong Can 500ml,1229882.82,28.9566,A
Chicken Egg,1212860.08,29.5124,A
Chadani Sona Rice 25kg,1152967.8,30.0408,A
PHEWA CHI SAUSAGE 400GM,1083166.46,30.5371,A
DELICIOUS PANNER 500GM,1077525.1,31.0309,A
WAI WAI  CHICKEN,1042377.59,31.5086,A
KUNDAN SOYABEAN 1LTR,1030933.47,31.9811,A
Kalo Dal,1003515.72,32.4409,A
Chana,1001312.07,32.8998,A
DELICIOUS NAUNI (BUTTER) 1KG,997570.6,33.3569,A
Gorkha Ext.Strong 330ml,975470.42,33.804,A
Gorkha Strong 650ml,951723.83,34.2401,A
KUNDAN SUNFLOWER 500ML,920809.59,34.6621,A
Dhoni Soap 250g,883919.3,35.0672,A
Gharana Maida 1kg,867277.15,35.4646,A
RARA,832621.89,35.8462,A
WAI WAI QUICK,824193.84,36.2239,A
Khukuri Rum 750ml,817158.04,36.5983,A
Local Milk 500ml,801090.03,36.9654,A
BADAM RAMRO,791226.45,37.328,A
Victory Jeera 500g,778735.11,37.6849,A
FAMILY SUNFLOWEER 500ml,774372.12,38.0398,A
Mong Khosta,749772.51,38.3834,A
Ghadi Aata 5kg,732732.56,38.7192,A
LUV POUCH DAHI 500ML,704272.18,39.0419,A
Dhara Mustard Oil 500ml,691855.96,39.3589,A
Bhansaghar LG Rice 20kg,674219.8,39.6679,A
Captain Filter King,671904.98,39.9758,A
AGAM LOCAL LONGGRAIN 20KG,639030.0,40.2687,A
CURRENT Chk H&S NOODLES RS.45,636297.48,40.5603,A
AMRIT SUNFLOWER 1LTR,625813.46,40.8471,A
OldDurbar 750ml,616317.3,41.1295,A
250ml Red Bull Energy Drink,598651.85,41.4038,A
DDC BUTTER 1KG,576483.84,41.668,A
Bijuli PL,556847.73,41.9232,A
PATANJALI SOAP,555580.84,42.1778,A
Sahnai Maida 20kg,551553.14,42.4306,A
Aadar Dal,543982.22,42.6798,A
Koseli Mustard oil 500ml,539076.1,42.9269,A
SunFlow Sunflower 500ml,538162.03,43.1735,A
ARIEL MATIC FL 4+2KG,536900.54,43.4195,A
Harpal Sugarfree Rice 20kg,523673.85,43.6595,A
DELICIOUS NAUNI (BUTTER) 500GM,518897.18,43.8973,A
Ariel Matic FL 1kg,492089.6,44.1228,A
GYAN CHAKKI AATA 2KG,486054.93,44.3456,A
harpal longgrain 20kg,483614.93,44.5672,A
Saideep Premium Tea 1KG,482768.48,44.7884,A
SAFAL GHEE POUCH 1L,481143.98,45.0089,A
Makai,480585.04,45.2292,A
Swastik Vanaspati Ghee 500ml,473877.36,45.4463,A
OREO ORIGNAL VANILLA 50GM,473285.05,45.6632,A
Agam Steam Sona Rice 25kg,472092.0,45.8796,A
LUV WHOLE MILK (RED),469600.45,46.0948,A
NIMBU FRESH 1.5ML,469214.29,46.3098,A
SAFAL NAUNI (BUTTER) 1KG,465887.91,46.5233,A
GYAN CHAKKI AATA 5KG,456110.61,46.7323,A
Dhoni LS 300,451160.95,46.939,A
mohit jira chamal 25kg,442500.0,47.1418,A
8848 Vodka 750ml,441921.31,47.3443,A
BRT MARI 40g,432162.89,47.5424,A
BM Perfect FruitWhite Wine 750ml,430009.21,47.7395,A
Siddha Baba Sunflower 1l,427090.47,47.9352,A
NongShiim ShinRamyan M.120g,418791.18,48.1271,A
Current Chk 2x Spicy Noodles,410123.44,48.315,A
HORLICKS CLASSIC MALT JAR 500GM,402339.09,48.4994,A
GAULE MAS KO DAL 1KG,398214.71,48.6819,A
Sawarmatti Rice 25kg,391429.58,48.8613,A
ARIEL 1KG,390655.34,49.0403,A
Khukuri Rum 375ml,389846.09,49.219,A
Surya Lite,383897.79,49.3949,A
THAKALI LONGGRAIN BASMATI RICE 20KG,380174.94,49.5691,A
DELICIOUS PANNER 200GM,370837.08,49.739,A
SAI DEEP CHIYA GOLD 500GM,368859.85,49.9081,A
LUV DAIRY STANDARD MILK (BLUE),368324.78,50.0769,A
TRUST KAJU 100GM,367873.73,50.2455,A
BMC MEAT MASALA 100GM,353639.51,50.4075,A
SAFAL DHAPA DAHI 1L,353209.43,50.5694,A
Trust Jeera 500gm,352007.18,50.7307,A
SAFAL DHAPA DAHI 500ML,351209.38,50.8916,A
newari longgrain 5kg,348277.88,51.0512,A
TRUST KAJU 500GM,346646.94,51.2101,A
Dhoni Soap 6pcs,343610.12,51.3676,A
Mayalu Filter,341222.57,51.5239,A
SALT,340283.6,51.6799,A
Three Star Chi Sausage 400gm,339694.02,51.8355,A
COKE FANTA SPRITE 2LTR,332138.93,51.9877,A
Fresh Chowmin 1kg,328346.96,52.1382,A
GYAN BASMATI 20KG,325817.68,52.2875,A
Puffino Sesame Mini 25g,320833.98,52.4346,A
