bin_left,bin_right,count
4.0,128.9,30520
128.9,253.8,33545
253.8,378.7,25442
378.7,503.6,19876
503.6,628.5,15877
628.5,753.4,11633
753.4,878.3,9871
878.3,1003.2,8431
1003.2,1128.1,6924
1128.1,1253.0,5521
1253.0,1377.9,4723
1377.9,1502.8,4536
1502.8,1627.7,3294
1627.7,1752.6,2847
1752.6,1877.5,2553
1877.5,2002.4,2627
2002.4,2127.3,3009
2127.3,2252.2,2124
2252.2,2377.1,1829
2377.1,2502.0,1796
2502.0,2626.9,1628
2626.9,2751.8,1450
2751.8,2876.7,1808
2876.7,3001.6,1327
3001.6,3126.5,1289
3126.5,3251.4,1170
3251.4,3376.3,922
3376.3,3501.2,765
3501.2,3626.1,742
3626.1,3751.0,656
3751.0,3875.9,636
3875.9,4000.8,554
4000.8,4125.7,588
4125.7,4250.6,467
4250.6,4375.5,384
4375.5,4500.4,404
4500.4,4625.3,365
4625.3,4750.2,353
4750.2,4875.1,364
4875.1,5000.0,5187
