category,baskets,pct_of_baskets
FOOD STAPLES,66516,30.51
CANNED AND PACKAGED FOODS,62239,28.55
TEA AND SPICES,42325,19.41
CLEANING SUPPLIES,36987,16.96
BISCUITS AND COOKIES,33209,15.23
COOKING OIL,32926,15.1
DAIRY PRODUCTS,32767,15.03
CONFECTIONERY,30750,14.1
PERSONAL CARE,29428,13.5
SOFT DRINKS AND JUICES,24575,11.27
NOODLES,22423,10.28
SNACKS,21290,9.76
RICE,16032,7.35
HOUSEHOLD ITEMS,14824,6.8
CIGARETTE AND TOBACCO,11199,5.14
FROZEN FOODS,9446,4.33
POOJA ITEMS,8901,4.08
ALCOHOLIC BEVERAGES,8622,3.95
BAKERY,5911,2.71
STATIONERY,5389,2.47
BREAKFAST CEREALS,5349,2.45
FRESH PRODUCE,5332,2.45
BABY CARE,5225,2.4
ELECTRICAL SUPPLIES,1218,0.56
PARTY SUPPLIES,229,0.11
