antecedents,consequents,support,confidence,lift
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES","HOUSEHOLD ITEMS, TEA AND SPICES",0.010250553805088127,0.18876689189189189,6.810883138744404
"HOUSEHOLD ITEMS, TEA AND SPICES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES",0.010250553805088127,0.36984941254343867,6.810883138744403
"CANNED AND PACKAGED FOODS, COOKING OIL, FOOD STAPLES","CLEANING SUPPLIES, TEA AND SPICES",0.010677086916440788,0.2577502214348982,6.736076355148135
"CLEANING SUPPLIES, TEA AND SPICES","CANNED AND PACKAGED FOODS, COOKING OIL, FOOD STAPLES",0.010677086916440788,0.2790363178712693,6.736076355148135
"CANNED AND PACKAGED FOODS, COOKING OIL","CLEANING SUPPLIES, FOOD STAPLES, TEA AND SPICES",0.010677086916440788,0.20860215053763442,6.511522848500243
"CLEANING SUPPLIES, FOOD STAPLES, TEA AND SPICES","CANNED AND PACKAGED FOODS, COOKING OIL",0.010677086916440788,0.3332856120257695,6.511522848500243
"COOKING OIL, HOUSEHOLD ITEMS","CLEANING SUPPLIES, FOOD STAPLES",0.013075762370606824,0.5267923133776793,6.204300525680822
"CLEANING SUPPLIES, FOOD STAPLES","COOKING OIL, HOUSEHOLD ITEMS",0.013075762370606824,0.15399989196780642,6.2043005256808215
"FOOD STAPLES, HOUSEHOLD ITEMS","CLEANING SUPPLIES, TEA AND SPICES",0.013373876910799543,0.23376623376623376,6.109275837431177
"CLEANING SUPPLIES, TEA AND SPICES","FOOD STAPLES, HOUSEHOLD ITEMS",0.013373876910799543,0.3495145631067961,6.109275837431176
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES","HOUSEHOLD ITEMS, PERSONAL CARE",0.01093392405876067,0.20135135135135135,6.0115082287545665
"HOUSEHOLD ITEMS, PERSONAL CARE","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES",0.01093392405876067,0.32644118855264964,6.0115082287545665
"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS","CLEANING SUPPLIES, TEA AND SPICES",0.010250553805088127,0.22998559374356864,6.010472120707956
"CLEANING SUPPLIES, TEA AND SPICES","CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS",0.010250553805088127,0.2678892484717727,6.010472120707955
"CLEANING SUPPLIES, FOOD STAPLES","COOKING OIL, PERSONAL CARE",0.013323426757843853,0.15691676119483608,5.975141435668613
"COOKING OIL, PERSONAL CARE","CLEANING SUPPLIES, FOOD STAPLES",0.013323426757843853,0.5073349633251835,5.975141435668613
"COOKING OIL, TEA AND SPICES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, FOOD STAPLES",0.010677086916440788,0.23859792969150354,5.843331101442924
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, FOOD STAPLES","COOKING OIL, TEA AND SPICES",0.010677086916440788,0.2614848927327867,5.8433311014429234
"CANNED AND PACKAGED FOODS, COOKING OIL","CLEANING SUPPLIES, TEA AND SPICES",0.011296247884533359,0.2206989247311828,5.767773157331044
"CLEANING SUPPLIES, TEA AND SPICES","CANNED AND PACKAGED FOODS, COOKING OIL",0.011296247884533359,0.29521754764473207,5.767773157331043
"HOUSEHOLD ITEMS, TEA AND SPICES","CLEANING SUPPLIES, FOOD STAPLES",0.013373876910799543,0.4825417838821777,5.683139573938226
"CLEANING SUPPLIES, FOOD STAPLES","HOUSEHOLD ITEMS, TEA AND SPICES",0.013373876910799543,0.15751093825960136,5.683139573938226
"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS","CLEANING SUPPLIES, PERSONAL CARE",0.01093392405876067,0.24531796665980654,5.647001002597576
"CLEANING SUPPLIES, PERSONAL CARE","CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS",0.01093392405876067,0.2516891891891892,5.647001002597576
