category,frequency_cluster,cooccurrence_cluster
ALCOHOLIC BEVERAGES,0,1
BABY CARE,0,1
BAKERY,0,1
BISCUITS AND COOKIES,0,0
BREAKFAST CEREALS,0,1
CANNED AND PACKAGED FOODS,2,2
CIGARETTE AND TOBACCO,0,1
CLEANING SUPPLIES,0,0
CONFECTIONERY,4,0
COOKING OIL,0,0
DAIRY PRODUCTS,0,0
ELECTRICAL SUPPLIES,0,1
FOOD STAPLES,1,2
FRESH PRODUCE,0,1
FROZEN FOODS,0,1
HOUSEHOLD ITEMS,0,0
NOODLES,0,0
PARTY SUPPLIES,0,1
PERSONAL CARE,0,0
POOJA ITEMS,0,1
RICE,0,1
SNACKS,0,0
SOFT DRINKS AND JUICES,0,0
STATIONERY,0,1
TEA AND SPICES,3,0
