,ALCOHOLIC BEVERAGES,BABY CARE,BAKERY,BISCUITS AND COOKIES,BREAKFAST CEREALS,CANNED AND PACKAGED FOODS,CIGARETTE AND TOBACCO,CLEANING SUPPLIES,CONFECTIONERY,COOKING OIL,DAIRY PRODUCTS,ELECTRICAL SUPPLIES,FOOD STAPLES,FRESH PRODUCE,FROZEN FOODS,HOUSEHOLD ITEMS,NOODLES,PARTY SUPPLIES,PERSONAL CARE,POOJA ITEMS,RICE,SNACKS,SOFT DRINKS AND JUICES,STATIONERY,TEA AND SPICES
ALCOHOLIC BEVERAGES,8622,94,100,848,75,2096,465,728,1050,636,778,40,1248,129,457,455,602,12,564,269,338,711,2263,124,976
BABY CARE,94,5225,226,1203,403,1870,80,1615,1155,788,613,56,1613,121,284,705,686,12,1850,270,290,621,429,394,1153
BAKERY,100,226,5911,1802,347,2523,128,1253,1198,829,1273,39,1900,268,377,522,1113,7,1056,302,275,788,724,265,1263
BISCUITS AND COOKIES,848,1203,1802,33209,1942,14281,913,9585,6689,6495,4701,220,14338,984,1632,3302,7110,47,6897,2154,2345,5534,4978,1493,9070
BREAKFAST CEREALS,75,403,347,1942,5349,2626,82,1713,1239,962,912,52,2191,203,386,667,1010,7,1329,358,365,902,584,354,1466
CANNED AND PACKAGED FOODS,2096,1870,2523,14281,2626,62239,1749,13871,11876,11098,9069,365,22196,1643,3782,5614,10540,84,10925,3270,4193,10794,8692,2245,17537
CIGARETTE AND TOBACCO,465,80,128,913,82,1749,11199,837,716,1372,1323,22,2286,141,244,667,607,1,561,388,365,523,754,75,1774
CLEANING SUPPLIES,728,1615,1253,9585,1713,13871,837,36987,5511,10411,4868,344,17549,967,1776,5790,5601,42,11006,3661,3575,5384,3297,2021,12070
CONFECTIONERY,1050,1155,1198,6689,1239,11876,716,5511,30750,3526,4242,163,7508,632,1842,2444,4481,65,5295,1294,1552,4140,4986,1383,5434
COOKING OIL,636,788,829,6495,962,11098,1372,10411,3526,32926,4822,165,18858,940,1233,3054,3985,26,5727,2451,4551,4751,2475,987,12240
DAIRY PRODUCTS,778,613,1273,4701,912,9069,1323,4868,4242,4822,32767,132,9086,979,1956,2227,3221,28,3631,1292,2201,3258,3359,779,6168
ELECTRICAL SUPPLIES,40,56,39,220,52,365,22,344,163,165,132,1218,328,28,61,179,133,2,277,122,77,146,100,65,258
FOOD STAPLES,1248,1613,1900,14338,2191,22196,2286,17549,7508,18858,9086,328,66516,1776,2345,5650,8020,65,10776,4073,6116,9566,5272,2008,22000
FRESH PRODUCE,129,121,268,984,203,1643,141,967,632,940,979,28,1776,5332,269,291,1025,2,727,256,398,624,480,151,1067
FROZEN FOODS,457,284,377,1632,386,3782,244,1776,1842,1233,1956,61,2345,269,9446,967,1889,16,1467,422,594,1131,1583,292,1835
HOUSEHOLD ITEMS,455,705,522,3302,667,5614,667,5790,2444,3054,2227,179,5650,291,967,14824,2100,57,4054,1523,1224,2175,1755,939,4501
NOODLES,602,686,1113,7110,1010,10540,607,5601,4481,3985,3221,133,8020,1025,1889,2100,22423,24,4463,1274,1411,4058,3463,989,5456
PARTY SUPPLIES,12,12,7,47,7,84,1,42,65,26,28,2,65,2,16,57,24,229,37,13,13,28,50,26,44
PERSONAL CARE,564,1850,1056,6897,1329,10925,561,11006,5295,5727,3631,277,10776,727,1467,4054,4463,37,29428,2260,2149,4159,2705,1720,8068
POOJA ITEMS,269,270,302,2154,358,3270,388,3661,1294,2451,1292,122,4073,256,422,1523,1274,13,2260,8901,853,1427,939,449,2875
RICE,338,290,275,2345,365,4193,365,3575,1552,4551,2201,77,6116,398,594,1224,1411,13,2149,853,16032,1642,1178,340,3993
SNACKS,711,621,788,5534,902,10794,523,5384,4140,4751,3258,146,9566,624,1131,2175,4058,28,4159,1427,1642,21290,2692,811,6779
SOFT DRINKS AND JUICES,2263,429,724,4978,584,8692,754,3297,4986,2475,3359,100,5272,480,1583,1755,3463,50,2705,939,1178,2692,24575,577,3623
STATIONERY,124,394,265,1493,354,2245,75,2021,1383,987,779,65,2008,151,292,939,989,26,1720,449,340,811,577,5389,1432
TEA AND SPICES,976,1153,1263,9070,1466,17537,1774,12070,5434,12240,6168,258,22000,1067,1835,4501,5456,44,8068,2875,3993,6779,3623,1432,42325
