month,category,revenue,baskets
2025-07,ALCOHOLIC BEVERAGES,504454.19,383
2025-07,BABY CARE,115258.08,241
2025-07,BAKERY,27524.86,297
2025-07,BISCUITS AND COOKIES,343808.3,1587
2025-07,BREAKFAST CEREALS,125716.24,275
2025-07,CANNED AND PACKAGED FOODS,762005.39,2991
2025-07,CIGARETTE AND TOBACCO,548361.28,502
2025-07,CLEANING SUPPLIES,666383.21,1802
2025-07,CONFECTIONERY,223130.94,1343
2025-07,COOKING OIL,1082809.35,1458
2025-07,DAIRY PRODUCTS,568374.46,2217
2025-07,ELECTRICAL SUPPLIES,6830.0,48
2025-07,FOOD STAPLES,970225.19,3113
2025-07,FRESH PRODUCE,47984.18,135
2025-07,FROZEN FOODS,167470.54,426
2025-07,HOUSEHOLD ITEMS,158376.1,708
2025-07,NOODLES,243396.9,1039
2025-07,PARTY SUPPLIES,2170.0,10
2025-07,PERSONAL CARE,470366.51,1445
2025-07,POOJA ITEMS,58672.64,401
2025-07,RICE,1125631.13,730
2025-07,SNACKS,216529.56,1052
2025-07,SOFT DRINKS AND JUICES,402692.82,1655
2025-07,STATIONERY,33668.22,257
2025-07,TEA AND SPICES,490913.1,1844
2025-08,ALCOHOLIC BEVERAGES,1348133.78,981
2025-08,BABY CARE,229059.44,481
2025-08,BAKERY,54595.52,580
2025-08,BISCUITS AND COOKIES,772517.07,3382
2025-08,BREAKFAST CEREALS,251303.47,538
2025-08,CANNED AND PACKAGED FOODS,1726592.84,6694
2025-08,CIGARETTE AND TOBACCO,1309031.51,1118
2025-08,CLEANING SUPPLIES,1331145.14,3664
2025-08,CONFECTIONERY,583404.89,3106
2025-08,COOKING OIL,2582197.08,3423
2025-08,DAIRY PRODUCTS,1416603.25,4416
2025-08,ELECTRICAL SUPPLIES,21255.02,115
2025-08,FOOD STAPLES,2362510.4,7073
2025-08,FRESH PRODUCE,149990.8,437
2025-08,FROZEN FOODS,417113.2,994
2025-08,HOUSEHOLD ITEMS,361391.06,1438
2025-08,NOODLES,486850.95,2071
2025-08,PARTY SUPPLIES,5195.0,32
2025-08,PERSONAL CARE,910711.62,2802
2025-08,POOJA ITEMS,123463.99,987
2025-08,RICE,2695939.56,1854
2025-08,SNACKS,471850.72,2155
2025-08,SOFT DRINKS AND JUICES,937210.64,3544
2025-08,STATIONERY,67143.01,549
2025-08,TEA AND SPICES,1083761.25,4095
2025-09,ALCOHOLIC BEVERAGES,1542875.43,903
2025-09,BABY CARE,238449.55,530
2025-09,BAKERY,52354.16,564
2025-09,BISCUITS AND COOKIES,808312.27,3404
2025-09,BREAKFAST CEREALS,220637.13,519
2025-09,CANNED AND PACKAGED FOODS,1762728.49,6416
2025-09,CIGARETTE AND TOBACCO,1312852.44,1113
2025-09,CLEANING SUPPLIES,1742785.95,4170
2025-09,CONFECTIONERY,533768.41,2911
2025-09,COOKING OIL,2966031.02,3534
2025-09,DAIRY PRODUCTS,1089891.78,3738
2025-09,ELECTRICAL SUPPLIES,26213.0,141
2025-09,FOOD STAPLES,2573808.08,7203
2025-09,FRESH PRODUCE,177513.78,672
2025-09,FROZEN FOODS,394733.79,952
2025-09,HOUSEHOLD ITEMS,339518.32,1404
2025-09,NOODLES,536616.42,2256
2025-09,PARTY SUPPLIES,3465.0,19
2025-09,PERSONAL CARE,1090229.21,3105
2025-09,POOJA ITEMS,153444.73,1200
2025-09,RICE,2910899.49,1769
2025-09,SNACKS,499964.86,2146
2025-09,SOFT DRINKS AND JUICES,831046.81,3076
2025-09,STATIONERY,66003.05,554
2025-09,TEA AND SPICES,1380610.18,4487
2025-10,ALCOHOLIC BEVERAGES,1940919.95,1235
2025-10,BABY CARE,233311.88,493
2025-10,BAKERY,43700.33,453
2025-10,BISCUITS AND COOKIES,660451.61,2811
2025-10,BREAKFAST CEREALS,196466.33,478
2025-10,CANNED AND PACKAGED FOODS,1731653.42,6293
2025-10,CIGARETTE AND TOBACCO,1327852.76,1116
2025-10,CLEANING SUPPLIES,1264394.78,3280
2025-10,CONFECTIONERY,648186.62,3059
2025-10,COOKING OIL,2555235.42,3223
2025-10,DAIRY PRODUCTS,1042685.61,3192
2025-10,ELECTRICAL SUPPLIES,29340.0,163
2025-10,FOOD STAPLES,2013069.35,6237
2025-10,FRESH PRODUCE,182551.11,657
2025-10,FROZEN FOODS,467316.47,1038
2025-10,HOUSEHOLD ITEMS,344305.53,1368
2025-10,NOODLES,472444.36,1997
2025-10,PARTY SUPPLIES,5170.0,20
2025-10,PERSONAL CARE,995874.34,2852
2025-10,POOJA ITEMS,199469.23,1390
2025-10,RICE,2177324.2,1699
2025-10,SNACKS,493072.53,2224
2025-10,SOFT DRINKS AND JUICES,924014.26,2962
2025-10,STATIONERY,50293.65,412
2025-10,TEA AND SPICES,1072892.24,3730
2025-11,ALCOHOLIC BEVERAGES,1262299.11,734
2025-11,BABY CARE,271274.5,540
2025-11,BAKERY,59957.54,616
2025-11,BISCUITS AND COOKIES,692642.78,3082
2025-11,BREAKFAST CEREALS,237542.35,524
2025-11,CANNED AND PACKAGED FOODS,1624892.3,5662
2025-11,CIGARETTE AND TOBACCO,1304657.93,1038
2025-11,CLEANING SUPPLIES,1375849.85,3424
2025-11,CONFECTIONERY,546074.72,2884
2025-11,COOKING OIL,2431871.86,2956
2025-11,DAIRY PRODUCTS,809407.98,2527
2025-11,ELECTRICAL SUPPLIES,19383.0,124
2025-11,FOOD STAPLES,2131293.06,6202
2025-11,FRESH PRODUCE,183997.84,672
2025-11,FROZEN FOODS,399954.83,872
2025-11,HOUSEHOLD ITEMS,315876.67,1231
2025-11,NOODLES,508474.62,2164
2025-11,PARTY SUPPLIES,4370.01,21
2025-11,PERSONAL CARE,1044259.03,3039
2025-11,POOJA ITEMS,113736.81,887
2025-11,RICE,2373405.4,1444
2025-11,SNACKS,417494.29,1904
2025-11,SOFT DRINKS AND JUICES,457962.18,1577
2025-11,STATIONERY,68833.19,547
2025-11,TEA AND SPICES,1196647.09,3996
2025-12,ALCOHOLIC BEVERAGES,1472290.69,810
2025-12,BABY CARE,274573.04,558
2025-12,BAKERY,60125.91,603
2025-12,BISCUITS AND COOKIES,764064.34,3333
2025-12,BREAKFAST CEREALS,252525.95,572
2025-12,CANNED AND PACKAGED FOODS,1899173.62,6282
2025-12,CIGARETTE AND TOBACCO,1487853.79,1162
