antecedents,consequents,support,confidence,lift
Surya,Shikhar Ice,0.007690697917756618,0.519434628975265,22.41190405921719
Shikhar Ice,Surya,0.007690697917756618,0.3318284424379232,22.41190405921719
SADA PAPAD,PRAWN 120gm,0.005524746259286387,0.3582089552238806,11.890944720648234
PRAWN 120gm,SADA PAPAD,0.005524746259286387,0.1833970128516846,11.890944720648234
Mong Khosta,Aadar Dal,0.005608454535942242,0.18249914879128365,10.199674649112854
Aadar Dal,Mong Khosta,0.005608454535942242,0.31345029239766087,10.199674649112852
Khukuri FT,Shikhar Ice,0.008370827665585435,0.20191822311963656,8.71211042146441
Shikhar Ice,Khukuri FT,0.008370827665585435,0.3611738148984198,8.712110421464407
"Rato Dal, Sugar",Kalo Dal,0.009207910432143978,0.3472770323599053,7.720229351625065
Kalo Dal,"Rato Dal, Sugar",0.009207910432143978,0.20469876715515237,7.720229351625064
"Kalo Dal, Sugar",Rato Dal,0.009207910432143978,0.689655172413793,7.595983038790619
Rato Dal,"Kalo Dal, Sugar",0.009207910432143978,0.10141754062463985,7.595983038790619
Seto Kerau,Chana,0.007031495239091765,0.40975609756097564,7.373449490473064
Chana,Seto Kerau,0.007031495239091765,0.12652984372057993,7.373449490473064
Kalo Dal,Rato Dal,0.028931673119179657,0.6431728308909048,7.084018375964478
Rato Dal,Kalo Dal,0.028931673119179657,0.3186585225308286,7.084018375964478
RARA,WAI WAI  CHICKEN,0.012127236580516898,0.3096446700507614,6.9385090543379295
WAI WAI  CHICKEN,RARA,0.012127236580516898,0.27174677608440795,6.938509054337929
Mong Khosta,"Rato Dal, Sugar",0.005284084963900806,0.17194416070820567,6.484886913529288
"Rato Dal, Sugar",Mong Khosta,0.005284084963900806,0.1992896606156275,6.484886913529288
"Mong Khosta, Sugar",Rato Dal,0.005284084963900806,0.5477223427331888,6.032709956783549
Rato Dal,"Mong Khosta, Sugar",0.005284084963900806,0.05819983865391265,6.032709956783548
Mong Khosta,Rato Dal,0.015758083080464582,0.5127681307456589,5.647718134765774
Rato Dal,Mong Khosta,0.015758083080464582,0.1735622911144405,5.647718134765774
RARA,CURRENT Chk H&S NOODLES RS.45,0.005127131945171079,0.13091103393000267,5.290134254837359
CURRENT Chk H&S NOODLES RS.45,RARA,0.005127131945171079,0.20718816067653276,5.290134254837359
Mong Khosta,Kalo Dal,0.006006068850057549,0.1954375212802179,4.344722937601867
Kalo Dal,Mong Khosta,0.006006068850057549,0.1335194231216562,4.344722937601867
Aadar Dal,Rato Dal,0.006539709113738621,0.3654970760233918,4.025648905791813
Rato Dal,Aadar Dal,0.006539709113738621,0.07202950328454535,4.025648905791813
"Rato Dal, Sugar",SALT,0.005828188762163859,0.21981057616416733,3.883049309428738
SALT,"Rato Dal, Sugar",0.005828188762163859,0.10295748613678372,3.8830493094287375
Rato Dal,Mong Dal,0.005022496599351261,0.05531865852253083,3.776288710713051
Mong Dal,Rato Dal,0.005022496599351261,0.34285714285714286,3.776288710713051
Sugar,SAI DEEP CHIYA GOLD 500GM,0.0050538872030972065,0.029921942758022554,3.352450257191343
SAI DEEP CHIYA GOLD 500GM,Sugar,0.0050538872030972065,0.5662368112543963,3.3524502571913426
Sugar,"Rato Dal, SALT",0.005828188762163859,0.034506256969396604,2.976320377766456
"Rato Dal, SALT",Sugar,0.005828188762163859,0.5027075812274368,2.9763203777664557
"SALT, Sugar",Rato Dal,0.005828188762163859,0.2604020570359981,2.8681139323418625
Rato Dal,"SALT, Sugar",0.005828188762163859,0.06419269332718681,2.8681139323418625
PATANJALI SOAP,SALT,0.005273621429318824,0.15356489945155394,2.712790654451943
SALT,PATANJALI SOAP,0.005273621429318824,0.09316081330868761,2.7127906544519425
Kalo Dal,SALT,0.006456000837082767,0.14352174924401026,2.5353740434842997
SALT,Kalo Dal,0.006456000837082767,0.11404805914972274,2.5353740434842993
Rato Dal,PATANJALI SOAP,0.007837187401904363,0.08632015673619915,2.513594570164093
PATANJALI SOAP,Rato Dal,0.007837187401904363,0.22821450335161486,2.5135945701640927
Kalo Dal,Chana,0.006257193680025113,0.13910211677134218,2.503104744838481
