category,subcategory,n_products,transactions,share_pct,top_partner_subcategory,shared_baskets,top_product_pair,top_pair_count,example_products
FOOD STAPLES,Pulses,53,31798,34.6,Sweeteners,8300,Kalo Dal + Rato Dal,3989,"Rato Dal, Chana, Kalo Dal"
FOOD STAPLES,Sweeteners,14,24365,26.5,Pulses,8300,Sugar + Trust Mishri 500g,131,"Sugar, Trust Mishri 500g, GUD 100GM"
FOOD STAPLES,Grains and Flour,53,24219,26.3,Pulses,7252,Gharana Suji 500g + Makai,244,"Makai, Gharana Maida 1kg, GYAN CHAKKI AATA 2KG"
FOOD STAPLES,Seasonings,69,23093,25.1,Pulses,8143,Fufeng Testing 190gm + SALT,432,"SALT, Fufeng Testing 190gm, Trust Panchapuran 100g"
FOOD STAPLES,Other,234,19940,21.7,-,-,-,-,"MS Aloo, Krishma Dhumri 180gm, MITHO TITAURA RS.75"
FOOD STAPLES,Dairy and Eggs,2,10170,11.1,Pulses,1296,Chicken Egg + Local Milk 500ml,143,"Local Milk 500ml, Chicken Egg"
FOOD STAPLES,Nuts and Dry Fruits,14,8266,9.0,Pulses,2669,BADAM RAMRO + Coconut Dry,134,"BADAM RAMRO, Krishma Mixnut 100gm, Coconut Dry"
CANNED AND PACKAGED FOODS,Other,386,26810,43.0,-,-,-,-,"Victory Jeera 500g, Dhania 100g, H. SOYABEAN /MASSURA 200G"
CANNED AND PACKAGED FOODS,Chips and Snacks,70,16962,27.2,Papad and Fryums,2428,Jhilinga + PRAWN 120gm,289,"PRAWN 120gm, LAYS AMERICAN STYLE CREAM ONION 42G, Lnt Bhuja"
CANNED AND PACKAGED FOODS,Noodles and Pasta,41,14029,22.5,Chips and Snacks,2403,Fresh Chowmin 1kg + Fresh Chowmin 500g,197,"Fresh Chowmin 500g, Fresh Chowmin 1kg, BAM  MACARONI-350gm"
CANNED AND PACKAGED FOODS,Dry Fruits and Nuts,33,7069,11.3,Chips and Snacks,846,TRUST KAJU 100GM + Trust Almond 100gm,547,"TRUST KAJU 100GM, Trust Almond 100gm, Trust Green Kismiss 100gm"
CANNED AND PACKAGED FOODS,Pickles and Sauces,99,6604,10.6,Noodles and Pasta,1265,PAICHO SOYA SAUCE 300gm + PAICHO TOMATO KETCHUP 200G,13,"Sagar ChukAmilo 180ml, Fish Pickle 30gm, Mitho Titaura RS.40"
