product,baskets
Sugar,23083
Rato Dal,12533
SALT,7756
Chana,7622
Local Milk 500ml,7222
COKE FANTA SPRITE 1.5L,6702
Kalo Dal,6205
WAI WAI  CHICKEN,6158
Khukuri FT,5624
RARA,5333
LUV POUCH DAHI 500ML,5208
PATANJALI SOAP,4735
Makai,4717
BADAM RAMRO,4661
Gharana Maida 1kg,4558
KUNDAN SUNFLOWER 1LTR,4409
FAMILY SUNFLOWER 1LTR,4354
Mong Khosta,4234
PRAWN 120gm,4075
WAI WAI QUICK,4004
CURRENT Chk H&S NOODLES RS.45,3338
Shikhar Ice,3168
Chicken Egg,3091
BRT MARI 40g,3051
SAFAL DHAPA DAHI 500ML,2974
LUV DAIRY STANDARD MILK (BLUE),2887
BMC MEAT MASALA 100GM,2672
Cello Oil 1l,2630
GYAN CHAKKI AATA 2KG,2593
Aadar Dal,2483
Seto Kerau,2416
Fresh Chowmin 500g,2374
Dhara Health 1l,2353
Chadani Sona Rice 25kg,2353
KUNDAN SUNFLOWER 500ML,2302
LAYS AMERICAN STYLE CREAM ONION 42G,2297
OREO ORIGNAL VANILLA 50GM,2296
Kwality ButterCracker  Rs15,2275
Dhoni Soap 250g,2259
Current Chk 2x Spicy Noodles,2222
Parle Monaco 25g,2178
Gharana Suji 500g,2119
RURU PITAMBARI 200GM,2115
SADA PAPAD,2095
Fresh Chowmin 1kg,2088
Hulas Steam Jeera 25kg,2077
LUV WHOLE MILK (RED),2056
SHAKTI SOYABEAN OIL 1LTR,2051
Gyan Bhuja 400g,2034
Victory Jeera 500g,2029
NIMBU FRESH 1.5ML,2020
Surya,1999
Mong Dal,1975
FAMILY SUNFLOWEER 500ml,1960
Ghadi Aata 5kg,1952
PHEWA CHI SAUSAGE 400GM,1927
250ml Red Bull Energy Drink,1882
Dhara Mustard Oil 1l,1864
Fufeng Testing 190gm,1860
Sada Chiura Bhagwati 1KG,1838
BRT TIGERCRUNCHY 40G,1829
DELICIOUS PANNER 200GM,1817
Dhania 100g,1813
Trust Panchapuran 100g,1813
TRUST KAJU 100GM,1805
H. SOYABEAN /MASSURA 200G,1771
Hulas Chiura 1kg,1672
Puffino Regular (Khajurico Puff),1670
Dhara Mustard Oil 500ml,1611
KITKAT 4F 18,1601
Dhoni LS 300,1584
SAFAL DHAPA DAHI 1L,1581
Puffino Sesame Mini 25g,1575
Fresh Sahara Laccha Paratha,1551
KITKAT 2FMINI,1528
Kauli Chaana,1524
TRUST SOFF 100GM,1507
RAMBA,1506
POPUP NAPKIN,1486
SunFlow Sunflower 1l,1445
GAULE MAS KO DAL 1KG,1408
Koseli Mustard oil 1l,1388
DELICIOUS PANNER 500GM,1379
Krishma Mixnut 100gm,1366
Frooti 200ml,1356
SunFlow Sunflower 500ml,1346
COKE FANTA SPRITE 500ML,1342
RICH SOAP,1331
Lotte Chocopie Red,1313
HAL SADA PAPAD 170GM,1308
gyan solti 25kg,1291
Kar Digestive(Rs20),1279
BRT GOODDAY 40G,1275
CDM 18G,1275
Tuborg Can 500ml,1269
BAM  MACARONI-350gm,1253
TRUST METHI 100GM,1251
MS Aloo,1231
SAI DEEP CHIYA GOLD 500GM,1227
Trust Till 500gm,1227
