Date,Miti,Inv.No,Customer,Product Group,Product,Uom,Qty,Rate,B. Amount,DISCOUNT,VAT,ROUND OFF,Total Amount
17/07/2025,1/4/2082,ABT-000020,CASH A/C,POOJA ITEMS,Til Oil 500ml,PCS,1,175,154.87,0,20.13,0,175
17/07/2025,1/4/2082,ABT-000029,CASH A/C,GAULE,Gaule Chukamilo,PCS,1,105,105,0,0,0,105
17/07/2025,1/4/2082,ABT-000029,CASH A/C,ESSENTIAL FOOD ITEM,Krishma Mixnut 100gm,PCS,1,80,70.8,0,9.2,0,80
17/07/2025,1/4/2082,ABT-000029,CASH A/C,ESSENTIAL FOOD ITEM,Mong Khosta,KG,4,185,740,0,0,0,740
17/07/2025,1/4/2082,ABT-000029,CASH A/C,ESSENTIAL FOOD ITEM,Sugar,KG,5,105,464.6,0,60.4,0,525
17/07/2025,1/4/2082,ABT-000029,CASH A/C,GAULE,GAULE JIMBU 25GM,PKT,1,115,115,0,0,0,115
17/07/2025,1/4/2082,ABT-000029,CASH A/C,PERSONAL CARE,Close Up Red 150g,PCS,1,135,119.47,0,15.53,0,135
17/07/2025,1/4/2082,ABT-000029,CASH A/C,ESSENTIAL FOOD ITEM,Local Milk 500ml,PKT,5,70,350,0,0,0,350
17/07/2025,1/4/2082,ABT-000003,CASH A/C,DAIRY PRODUCT,LUV WHOLE MILK (RED),PKT,6,65,390,0,0,0,390
17/07/2025,1/4/2082,ABT-000003,CASH A/C,ESSENTIAL FOOD ITEM,Local Milk 500ml,PKT,2,70,140,0,0,0,140
17/07/2025,1/4/2082,ABT-000012,CASH A/C,SOFT DRINK,NIMBU FRESH 1.5ML,PCS,1,160,141.59,0,18.41,0,160
17/07/2025,1/4/2082,ABT-000012,CASH A/C,Hard Drinks,Tuborg Can 500ml,PCS,4,330,"1,168.14",0,151.86,0,"1,320.00"
17/07/2025,1/4/2082,ABT-000012,CASH A/C,SOFT DRINK,COKE FANTA SPRITE 1.5L,PCS,2,170,300.88,0,39.12,0,340
17/07/2025,1/4/2082,ABT-000017,CASH A/C,BISCUITS,Parle Monaco 25g,PKT,1,110,97.35,0,12.65,0,110
17/07/2025,1/4/2082,ABT-000026,CASH A/C,GAULE,Gaule Timurko Dana,PKT,1,210,210,0,0,0,210
17/07/2025,1/4/2082,ABT-000026,CASH A/C,GAULE,GAULE BHANGO 200GM,PKT,1,115,115,0,0,0,115
17/07/2025,1/4/2082,ABT-000013,CASH A/C,SOFT DRINK,COKE FANTA SPRITE 1.5L,PCS,1,170,150.44,0,19.56,0,170
17/07/2025,1/4/2082,ABT-000013,CASH A/C,Hard Drinks,Tuborg Can 500ml,PCS,4,330,"1,168.14",0,151.86,0,"1,320.00"
17/07/2025,1/4/2082,ABT-000013,CASH A/C,Hard Drinks,CARLSBERG 500ML,PKT,2,380,672.57,0,87.43,0,760
17/07/2025,1/4/2082,ABT-000013,CASH A/C,DAIRY PRODUCT,SAFAL DHAPA DAHI 1L,PCS,1,210,210,0,0,0,210
17/07/2025,1/4/2082,ABT-000014,CASH A/C,CANNED AND PACK GOODS ,KRISHMA KHURPANI 100GM,PCS,1,115,101.77,0,13.23,0,115
17/07/2025,1/4/2082,ABT-000016,CASH A/C,CHOCOLATE & CANDY,MASMELLOUS 18GM,PCS,1,40,35.4,0,4.6,0,40
